"variable"	"i"	"value"
"1"	"y"	1	0
"2"	"y"	2	0
"3"	"y"	3	0
"4"	"y"	4	0
"5"	"y"	5	0
"6"	"y"	6	0
"7"	"y"	7	0
"8"	"y"	8	0
"9"	"y"	9	0
"10"	"y"	10	0
"11"	"y"	11	0
"12"	"y"	12	0
"13"	"y"	13	0
"14"	"y"	14	0
"15"	"y"	15	0
"16"	"y"	16	0
"17"	"y"	17	0
"18"	"y"	18	0
"19"	"y"	19	0
"20"	"y"	20	0
"21"	"y"	21	0
"22"	"y"	22	0
"23"	"y"	23	0
"24"	"y"	24	0
"25"	"y"	25	0
"26"	"y"	26	0
"27"	"y"	27	0
"28"	"y"	28	0
"29"	"y"	29	0
"30"	"y"	30	0
"31"	"y"	31	0
"32"	"y"	32	0
"33"	"y"	33	0
"34"	"y"	34	0
"35"	"y"	35	0
"36"	"y"	36	0
"37"	"y"	37	0
"38"	"y"	38	0
"39"	"y"	39	0
"40"	"y"	40	0
"41"	"y"	41	0
"42"	"y"	42	0
"43"	"y"	43	0
"44"	"y"	44	0
"45"	"y"	45	0
"46"	"y"	46	0
"47"	"y"	47	0
"48"	"y"	48	0
"49"	"y"	49	0
"50"	"y"	50	0
"51"	"y"	51	0
"52"	"y"	52	0
"53"	"y"	53	0
"54"	"y"	54	0
"55"	"y"	55	0
"56"	"y"	56	0
"57"	"y"	57	0
"58"	"y"	58	0
"59"	"y"	59	0
"60"	"y"	60	0
"61"	"y"	61	0
"62"	"y"	62	0
"63"	"y"	63	0
"64"	"y"	64	0
"65"	"y"	65	0
"66"	"y"	66	0
"67"	"y"	67	0
"68"	"y"	68	0
"69"	"y"	69	0
"70"	"y"	70	0
"71"	"y"	71	0
"72"	"y"	72	0
"73"	"y"	73	0
"74"	"y"	74	0
"75"	"y"	75	0
"76"	"y"	76	0
"77"	"y"	77	0
"78"	"y"	78	0
"79"	"y"	79	0
"80"	"y"	80	0
"81"	"y"	81	0
"82"	"y"	82	0
"83"	"y"	83	0
"84"	"y"	84	0
"85"	"y"	85	0
"86"	"y"	86	0
"87"	"y"	87	0
"88"	"y"	88	0
"89"	"y"	89	0
"90"	"y"	90	0
"91"	"y"	91	0
"92"	"y"	92	0
"93"	"y"	93	0
"94"	"y"	94	0
"95"	"y"	95	0
"96"	"y"	96	0
"97"	"y"	97	0
"98"	"y"	98	0
"99"	"y"	99	0
"100"	"y"	100	0
"101"	"y"	101	0
"102"	"y"	102	0
"103"	"y"	103	0
"104"	"y"	104	0
"105"	"y"	105	0
"106"	"y"	106	0
"107"	"y"	107	0
"108"	"y"	108	0
"109"	"y"	109	0
"110"	"y"	110	0
"111"	"y"	111	0
"112"	"y"	112	0
"113"	"y"	113	0
"114"	"y"	114	0
"115"	"y"	115	0
"116"	"y"	116	0
"117"	"y"	117	0
"118"	"y"	118	0
"119"	"y"	119	0
"120"	"y"	120	0
"121"	"y"	121	0
"122"	"y"	122	0
"123"	"y"	123	0
"124"	"y"	124	0
"125"	"y"	125	0
"126"	"y"	126	0
"127"	"y"	127	1
"128"	"y"	128	0
"129"	"y"	129	1
"130"	"y"	130	1
"131"	"y"	131	1
"132"	"y"	132	1
"133"	"y"	133	1
"134"	"y"	134	1
"135"	"y"	135	1
"136"	"y"	136	1
"137"	"y"	137	0
"138"	"y"	138	0
"139"	"y"	139	0
"140"	"y"	140	1
"141"	"y"	141	0
"142"	"y"	142	1
"143"	"y"	143	0
"144"	"y"	144	0
"145"	"y"	145	0
"146"	"y"	146	1
"147"	"y"	147	0
"148"	"y"	148	1
"149"	"y"	149	1
"150"	"y"	150	0
"151"	"y"	151	1
"152"	"y"	152	0
"153"	"y"	153	0
"154"	"y"	154	1
"155"	"y"	155	1
"156"	"y"	156	0
"157"	"y"	157	0
"158"	"y"	158	1
"159"	"y"	159	1
"160"	"y"	160	1
"161"	"y"	161	1
"162"	"y"	162	1
"163"	"y"	163	1
"164"	"y"	164	1
"165"	"y"	165	1
"166"	"y"	166	1
"167"	"y"	167	0
"168"	"y"	168	0
"169"	"y"	169	1
"170"	"y"	170	0
"171"	"y"	171	0
"172"	"y"	172	0
"173"	"y"	173	1
"174"	"y"	174	1
"175"	"y"	175	1
"176"	"y"	176	1
